catalog_name,product_name,product_url,product_reviews,product_stars,price,pic_url
Grocery & Gourmet Food,"Quest Nutrition Protein Bar, Chocolate Chip Cookie Dough, High Protein Bars, Low Carb Bars, Gluten…",https://www.amazon.com/Quest-Nutrition-Protein-Chocolate-Packaging/dp/B00DLDH1N2/ref=zg_bs_grocery_13?_encoding=UTF8&psc=1&refRID=T5VEGADNDQPMS05QVVQQ,"13,052",4.0 out of 5 stars,$22.37,"https://images-na.ssl-images-amazon.com/images/I/715YEwTNJAL._AC_UL200_SR200,200_.jpg"
Grocery & Gourmet Food,"Swerve Sweetener, Confectioners, 12 oz",https://www.amazon.com/Swerve-Sweetener-Confectioners-12-oz/dp/B0079OYIFS/ref=zg_bs_grocery_14?_encoding=UTF8&psc=1&refRID=T5VEGADNDQPMS05QVVQQ,"3,246",4.4 out of 5 stars,$8.99,"https://images-na.ssl-images-amazon.com/images/I/919nfpVD63L._AC_UL200_SR200,200_.jpg"
Grocery & Gourmet Food,"Swerve Sweetener, Granular, 12 Ounce",https://www.amazon.com/Swerve-Sweetener-Granular-12-Ounce/dp/B01LLMUG22/ref=zg_bs_grocery_15?_encoding=UTF8&psc=1&refRID=T5VEGADNDQPMS05QVVQQ,"3,246",4.4 out of 5 stars,$8.99,"https://images-na.ssl-images-amazon.com/images/I/61udDprP6jL._AC_UL200_SR200,200_.jpg"
Video Games,Nintendo Entertainment System: NES Classic…,https://www.amazon.com/Nintendo-Entertainment-System-NES-Classic/dp/B01IFJBQ1E/ref=zg_bs_videogames_1?_encoding=UTF8&psc=1&refRID=TPNA5QVRF3VFM4QW6S2J,"1,508",4.1 out of 5 stars,$59.99,"https://images-na.ssl-images-amazon.com/images/I/81s7B%2BAls-L._AC_UL200_SR200,200_.jpg"
Video Games,Call of Duty: Black Ops 4 - PlayStation 4…,https://www.amazon.com/Call-Duty-Black-Ops-PlayStation-Standard/dp/B072MKR1RL/ref=zg_bs_videogames_2?_encoding=UTF8&psc=1&refRID=TPNA5QVRF3VFM4QW6S2J,not found,not found,$59.99,"https://images-na.ssl-images-amazon.com/images/I/81JMrSnvvHL._AC_UL200_SR200,200_.jpg"
Video Games,$10 PlayStation Store Gift Card - PS3/ PS4/ PS…,https://www.amazon.com/10-PlayStation-Store-Gift-Card/dp/B00GAC1D2G/ref=zg_bs_videogames_3?_encoding=UTF8&psc=1&refRID=TPNA5QVRF3VFM4QW6S2J,"30,779",4.5 out of 5 stars,$9.99,"https://images-na.ssl-images-amazon.com/images/I/71cCI9QPwYL._AC_UL200_SR200,200_.jpg"
Video Games,$20 PlayStation Store Gift Card - PS3/ PS4/ PS…,https://www.amazon.com/20-PlayStation-Store-Gift-Card/dp/B004RMK4BC/ref=zg_bs_videogames_4?_encoding=UTF8&psc=1&refRID=TPNA5QVRF3VFM4QW6S2J,"30,779",4.5 out of 5 stars,$19.99,"https://images-na.ssl-images-amazon.com/images/I/71qiIGHeN5L._AC_UL200_SR200,200_.jpg"
Video Games,Madden NFL 19 - PlayStation 4,https://www.amazon.com/Madden-NFL-19-PlayStation-4/dp/B07D77HYR5/ref=zg_bs_videogames_5?_encoding=UTF8&psc=1&refRID=TPNA5QVRF3VFM4QW6S2J,not found,not found,$59.99,"https://images-na.ssl-images-amazon.com/images/I/71QFABsM1cL._AC_UL200_SR200,200_.jpg"
Video Games,$60 PlayStation Store Gift Card - PS4/ PS3/ PS…,https://www.amazon.com/60-PlayStation-Store-Gift-Card/dp/B00XJZHJCA/ref=zg_bs_videogames_6?_encoding=UTF8&psc=1&refRID=TPNA5QVRF3VFM4QW6S2J,"30,779",4.5 out of 5 stars,$59.99,"https://images-na.ssl-images-amazon.com/images/I/7122uXGfp0L._AC_UL200_SR200,200_.jpg"
Video Games,$50 PlayStation Store Gift Card - PS3/ PS4/ PS…,https://www.amazon.com/50-PlayStation-Store-Gift-Card/dp/B004RMK4P8/ref=zg_bs_videogames_7?_encoding=UTF8&psc=1&refRID=TPNA5QVRF3VFM4QW6S2J,"30,779",4.5 out of 5 stars,$49.99,"https://images-na.ssl-images-amazon.com/images/I/71aku-YrUSL._AC_UL200_SR200,200_.jpg"
Video Games,Super Smash Bros.,https://www.amazon.com/Super-Smash-Bros-Nintendo-Switch/dp/B01N5OKGLH/ref=zg_bs_videogames_8?_encoding=UTF8&psc=1&refRID=TPNA5QVRF3VFM4QW6S2J,not found,not found,not found,"https://images-na.ssl-images-amazon.com/images/I/91oV9xbOwVL._AC_UL200_SR200,200_.jpg"
Video Games,amFilm Tempered Glass Screen Protector for…,https://www.amazon.com/amFilm-Tempered-Screen-Protector-Nintendo-Switch/dp/B01N3ASPNV/ref=zg_bs_videogames_9?_encoding=UTF8&psc=1&refRID=TPNA5QVRF3VFM4QW6S2J,"10,839",4.7 out of 5 stars,$7.99,"https://images-na.ssl-images-amazon.com/images/I/71lNozs2bvL._AC_UL200_SR200,200_.jpg"
Video Games,Xbox Wireless Controller - Black,https://www.amazon.com/Xbox-Wireless-Controller-Black-one/dp/B01LPZM7VI/ref=zg_bs_videogames_10?_encoding=UTF8&psc=1&refRID=TPNA5QVRF3VFM4QW6S2J,"1,780",3.8 out of 5 stars,not found,"https://images-na.ssl-images-amazon.com/images/I/417XDvDZxcL._AC_UL200_SR200,200_.jpg"
